Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20020917X02148,Accident,FTW82FRJ07,02/01/1982,"HOMER, LA",United States,,,,,Non-Fatal,Destroyed,Airplane,N14779,Bellanca,17-30A,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,1,0,IMC,Cruise,Probable Cause,02/01/1983
20020917X02134,Accident,FTW82FRA14,02/01/1982,"HEARNE, TX",United States,,,T72,HEARNE MUNICIPAL,Fatal(1),Destroyed,Airplane,N758SK,Cessna,R172K,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,0,0,0,IMC,Takeoff,Probable Cause,02/01/1983
20020917X02119,Accident,FTW82FPJ10,02/01/1982,"CHICKASHA, OK",United States,,,,,Fatal(1),Destroyed,Airplane,N4876K,Navion,A,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,0,0,0,IMC,Cruise,Probable Cause,02/01/1983
20020917X02117,Accident,FTW82FPG08,02/01/1982,"LITTLE ROCK, AR",United States,,,,,Fatal(2),Destroyed,Airplane,N9779L,Beech,19,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,0,0,0,IMC,Cruise,Probable Cause,02/01/1983
20020917X01962,Accident,DEN82DTM08,02/01/1982,"MIDWAY, UT",United States,,,,FIELD RANCH,Non-Fatal,Destroyed,Helicopter,N51735,Enstrom,280C,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,IMC,Taxi,Probable Cause,02/01/1983
20020917X01656,Accident,ANC82FAG14,02/01/1982,"SKWENTA, AK",United States,,,,,Fatal(3),Destroyed,Airplane,N7641A,Cessna,180,No,1,Reciprocating,Part 91: General Aviation,,Personal,,3,0,0,0,VMC,Unknown,Probable Cause,02/01/1983
20020917X02481,Accident,NYC82DA016,02/01/1982,"GALETON, PA",United States,,,5G6,CHERRY SPRINGS,Non-Fatal,Substantial,Airplane,N25084,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Taxi,Probable Cause,02/01/1983
20020917X02339,Accident,MIA82DA028,02/01/1982,"MIAMI, FL",United States,,,,,Non-Fatal,Substantial,Helicopter,N23BS,Smith,WCS-222 (BELL 47G),No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,VMC,Cruise,Probable Cause,02/01/1983
20020917X01894,Accident,CHI82FEC08,02/01/1982,"YPSILANTI, MI",United States,,,YIP,WILLOW RUN,Non-Fatal,Substantial,Airplane,N68812,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,0,0,0,1,VMC,Takeoff,Probable Cause,02/01/1983
20020917X01776,Accident,CHI82DA020,02/01/1982,"CHARLOTTE, MI",United States,,,49G,TINKERBELL,Non-Fatal,Substantial,Airplane,N1549Q,Cessna,150L,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,VMC,Approach,Probable Cause,02/01/1983
20020917X01657,Accident,ATL82DA027,02/01/1982,"CHAMBLEE, GA",United States,,,PDK,,Non-Fatal,Substantial,Helicopter,N5745Y,Bell,206L-1,No,1,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Unknown,"Rocky Mountain Helicopters, In",0,0,0,1,VMC,Approach,Probable Cause,02/01/1983
20020917X02333,Incident,LAX82IA034,03/01/1982,"VAN NUYS, CA",United States,,,VNY,VAN NUYS,Incident,Minor,Airplane,N5018P,Piper,PA-24-180,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Approach,Probable Cause,03/01/1983
20020917X02255,Accident,LAX82FA040,03/01/1982,"10 NM W LEE VIN, CA",United States,,,,,Fatal(2),Destroyed,Airplane,N28912,Grumman,AA-5B,No,1,Reciprocating,Part 91: General Aviation,,Personal,,2,1,0,0,IMC,Descent,Probable Cause,03/01/1983
20020917X01905,Accident,DCA82AA008,03/01/1982,"ASHLAND, VA",United States,,,,HANOVER COUNTY,Fatal(8),Destroyed,Airplane,N2620L,Cessna,414A,No,2,Reciprocating,Part 91: General Aviation,,Business,,8,0,0,0,IMC,Approach,Probable Cause,03/01/1983
20020917X01720,Accident,ATL82FA033,03/01/1982,"PINEHURST, NC",United States,,,SOP,MOORE COUNTY,Fatal(1),Destroyed,Airplane,N10VS,Beechcraft,BE-58,No,2,Reciprocating,Part 91: General Aviation,,Personal,,1,0,0,0,IMC,Approach,Probable Cause,03/01/1983
20020917X02483,Accident,NYC82DA018,03/01/1982,"WHITE PLAINS, NY",United States,,,HPN,WESTCHESTER COUNTY,Non-Fatal,Substantial,Airplane,N7125D,Maule,M-5-235C,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,VMC,Landing,Probable Cause,03/01/1983
20020917X02340,Accident,MIA82DA030,03/01/1982,"COCOA, FL",United States,,,,,Non-Fatal,Substantial,Airplane,N94252,Cessna,210L,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,1,1,VMC,Descent,Probable Cause,03/01/1983
20020917X02155,Accident,LAX82DA035,03/01/1982,"SAN CLEMENTINE, CA",United States,,,,,Non-Fatal,Substantial,Airplane,N8630V,Bellanca,7GCBC,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,2,0,VMC,Maneuvering,Probable Cause,03/01/1983
20020917X01992,Accident,FTW82DA036,03/01/1982,"FORT WORTH, TX",United States,,,,OAK GROVE,Non-Fatal,Substantial,Airplane,N71054,Cessna,182,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,2,0,VMC,Approach,Probable Cause,03/01/1983
20020917X01960,Accident,DEN82DTI09,03/01/1982,"GREENOUGH, MT",United States,,,,,Non-Fatal,Substantial,Airplane,N23069,Air Tractor,AT-301,No,1,Reciprocating,Part 91: General Aviation,,Ferry,,0,0,0,1,VMC,Takeoff,Probable Cause,03/01/1983
20020917X02618,Accident,SEA82FA015,04/01/1982,"PLEASANT HILL, OR",United States,,,,,Fatal(4),Destroyed,Airplane,N8265A,Piper,PA-28-161,No,1,Reciprocating,Part 91: General Aviation,,Personal,,4,0,0,0,VMC,Cruise,Probable Cause,04/01/1983
20020917X02254,Accident,LAX82FA038,04/01/1982,"NEAR LAS VEGAS, NV",United States,,,,,Fatal(2),Destroyed,Airplane,N1956H,Piper,PA-34-200T,No,2,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Lang Air Service,2,0,0,0,VMC,Cruise,Probable Cause,04/01/1983
20020917X01880,Accident,CHI82FA019,04/01/1982,"FORT WAYNE, IN",United States,,,,,Fatal(2),Destroyed,Airplane,N2CU,Cessna,T337G,No,2,Reciprocating,Part 91: General Aviation,,Personal,,2,2,0,0,IMC,Cruise,Probable Cause,04/01/1983
20020917X01991,Accident,FTW82DA035,04/01/1982,"ESTANCIA, NM",United States,,,E92,ESTANCIA MUNICIPAL,Non-Fatal,Substantial,Airplane,N32335,Piper,PA-28R-200,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,2,0,VMC,Cruise,Probable Cause,04/01/1983
20020917X02410,Accident,MIA82FKA05,04/01/1982,SAINT CROIX,,,,STX,ALEXANDER HAMILTON,Fatal(1),Destroyed,Airplane,N5151U,Cessna,206,No,1,Reciprocating,Part 91: General Aviation,,Business,,1,0,1,0,VMC,Taxi,Probable Cause,04/01/1983
20020917X02304,Accident,LAX82FUM06,05/01/1982,"RAMONA, CA",United States,,,L39,RAMONA,Fatal(3),Destroyed,Airplane,N4520K,Navion,A,No,1,Reciprocating,Part 91: General Aviation,,Business,,3,0,0,0,IMC,Cruise,Probable Cause,05/01/1983
20020917X02253,Accident,LAX82FA036,05/01/1982,"BLACK CANYON CI, AZ",United States,,,,,Fatal(1),Destroyed,Airplane,N4696Z,Piper,PA-22,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,0,0,0,IMC,Cruise,Probable Cause,05/01/1983
20020917X01906,Accident,DCA82AA009,05/01/1982,"ITHACA, NY",United States,,,,TOMPKINS COUNTY,Fatal(2),Destroyed,Airplane,N546BA,Piper,PA-31,No,2,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,Empire Airlines,2,0,0,0,VMC,Approach,Probable Cause,05/01/1983
20020917X01764,Incident,ATL82IA029,05/01/1982,"PENSACOLA, FL",United States,,,,,Incident,Minor,Airplane,N5782N,Rockwell,114,No,1,Reciprocating,Part 91: General Aviation,,Business,,0,0,0,1,VMC,Cruise,Probable Cause,05/01/1983
20020917X01993,Accident,FTW82DA037,05/01/1982,"LONOKE, AR",United States,,,,,Non-Fatal,Substantial,Airplane,N5304P,Piper,PA-24-250,No,1,Reciprocating,Part 91: General Aviation,,Business,,0,1,0,1,VMC,Descent,Probable Cause,05/01/1983
20020917X01658,Accident,ATL82DA028,05/01/1982,"GASTONIA, NC",United States,,,0A6,,Non-Fatal,Substantial,Airplane,N2139T,Piper,PA-28R-200,No,1,Reciprocating,Part 91: General Aviation,,Ferry,,0,0,0,1,VMC,Cruise,Probable Cause,05/01/1983
20020917X02156,Accident,LAX82DA037,05/01/1982,"SPRINGERVILLE, AZ",United States,,,Q35,SPRINGERVILLE,Non-Fatal,Substantial,Airplane,N738XP,Cessna,TR182,No,1,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Joel Frederick's Monarch Air,0,0,0,1,VMC,Taxi,Probable Cause,05/01/1983
20020917X01651,Accident,ANC82FA012,05/01/1982,"BETHEL, AK",United States,,,BET,BETHEL,Non-Fatal,Substantial,Airplane,N3343S,Cessna,A185F,No,1,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Executive Charter Service,0,2,0,0,VMC,Takeoff,Probable Cause,05/01/1983
20020917X02423,Accident,MKC82DA016,06/01/1982,"ROLLA, MO",United States,,,K07,DOWNTOWN,Non-Fatal,Substantial,Airplane,N2672A,Cessna,340,Yes,2,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0,0,0,3,VMC,Approach,Probable Cause,06/01/1983
20020917X02157,Accident,LAX82DA039,06/01/1982,"MAMMOTH LAKES, CA",United States,,,MMH,MAMMOTH LAKES,Non-Fatal,Substantial,Helicopter,N608RA,Aerospatiale,SA-316B,No,1,Turbo Shaft,Part 91: General Aviation,,Business,,0,0,0,6,VMC,Taxi,Probable Cause,06/01/1983
20020917X01913,Accident,DEN82DA015,06/01/1982,"JACKSON, WY",United States,,,,JACKSON HOLE,Non-Fatal,Substantial,Airplane,N8070Q,Beech,35,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,3,VMC,Climb,Probable Cause,06/01/1983
20020917X01777,Accident,CHI82DA021,06/01/1982,"PAXTON, IL",United States,,,1C1,PAXTON MUNICIPAL,Non-Fatal,Substantial,Airplane,N4900L,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,0,0,0,2,VMC,Approach,Probable Cause,06/01/1983
20020917X01757,Accident,ATL82FLG08,06/01/1982,"HILTON HEAD, SC",United States,,,,,Non-Fatal,Substantial,Airplane,N201NH,Mooney,M-20J,No,1,Reciprocating,Part 91: General Aviation,,Business,,0,0,0,2,VMC,Takeoff,Probable Cause,06/01/1983
20020917X02242,Accident,LAX82DVA10,06/01/1982,"NEAR BAKERSFIEL, CA",United States,,,,,Non-Fatal,Substantial,Airplane,N59737,Boeing,A75,No,1,Reciprocating,Part 91: General Aviation,,Unknown,,0,1,0,1,IMC,Cruise,Probable Cause,06/01/1983
20020917X01964,Accident,DEN82FA016,07/01/1982,"HELENA, MT",United States,,,,,Fatal(2),Destroyed,Airplane,N9763X,Cessna,210,No,1,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Robert R. Hylton,2,0,0,0,VMC,Cruise,Probable Cause,07/01/1983
20020917X01659,Accident,ATL82DA031,07/01/1982,"WESTMINISTER, MD",United States,,,2W2,CLEARVIEW,Non-Fatal,Substantial,Airplane,N117P,Beech,V35,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Approach,Probable Cause,07/01/1983
20020917X02141,Accident,FTW82FRG20,07/01/1982,"LAREDO, TX",United States,,,LRD,LAREDO INTL,Non-Fatal,Substantial,Airplane,N1698M,Curtis,C46,No,2,Reciprocating,"Part 125: 20+ Pax,6000+ lbs",NSCH,Unknown,,0,0,0,3,VMC,Standing,Probable Cause,07/01/1983
20020917X02414,Accident,MIA82FLD14,08/01/1982,"ODESSA, FL",United States,,,X41,W. PASCO,Fatal(1),Destroyed,Airplane,N80264,Cessna,172M,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,0,0,0,IMC,Approach,Probable Cause,08/01/1983
20020917X01881,Accident,CHI82FA024,08/01/1982,"NEW PHILADELPHI, OH",United States,,,PHO,HARRY CLEVER FIELD,Fatal(1),Destroyed,Airplane,N207CB,Piper,PA-28-140,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,1,0,0,VMC,Approach,Probable Cause,08/01/1983
20020917X02574,Accident,SEA82DA016,08/01/1982,"PULLMAN, WA",United States,,,PUW,PULLMAN-MOSCOW REGIONAL,Non-Fatal,Substantial,Airplane,N6106U,Cessna,TU206G,No,1,Reciprocating,Part 91: General Aviation,,Business,,0,0,0,1,VMC,Landing,Probable Cause,08/01/1983
20020917X02484,Accident,NYC82DA019,08/01/1982,"CUTCHOGUE, NY",United States,,,,,Non-Fatal,Substantial,Airplane,N46681,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,0,0,0,1,VMC,Cruise,Probable Cause,08/01/1983
20020917X02431,Accident,MKC82DA026,08/01/1982,"LIBERTY, MO",United States,,,,MITHELL,Non-Fatal,Substantial,Airplane,N7618P,Piper,PA-24-250,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,0,0,0,2,VMC,Landing,Probable Cause,08/01/1983
20020917X01779,Accident,CHI82DA023,08/01/1982,"PEORIA, IL",United States,,,3MY,MOUNT HAWLEY,Non-Fatal,Substantial,Airplane,N6265P,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,0,0,0,1,VMC,Takeoff,Probable Cause,08/01/1983
20020917X01778,Accident,CHI82DA022,08/01/1982,"SANDUSKY, OH",United States,,,SKY,GRIFFING-SANDUSKY,Non-Fatal,Substantial,Airplane,N737LH,Cessna,172N,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,VMC,Landing,Probable Cause,08/01/1983
20020917X01717,Accident,ATL82DLG09,08/01/1982,"GRANTITEVILLE, SC",United States,,,SC42,TWIN LAKES,Non-Fatal,Substantial,Airplane,N25225,Cessna,152,No,1,Reciprocating,Part 91: General Aviation,,Instructional,,0,0,0,1,VMC,Landing,Probable Cause,08/01/1983
20020917X02247,Accident,LAX82DVG13,09/01/1982,"CALISTOGA, CA",United States,,,,CALISTOGA,Non-Fatal,Substantial,Glider,N10UP,Schleicher,ASW 20,No,0,Unknown,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Landing,Probable Cause,09/01/1983
20020917X02246,Accident,LAX82DVG12,09/01/1982,"NAPA, CA",United States,,,,NAPA,Non-Fatal,Substantial,Airplane,N731NZ,Cessna,P210N,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,1,0,3,VMC,Landing,Probable Cause,09/01/1983
20020917X01995,Accident,FTW82DA039,09/01/1982,"FRUIT VALE, TX",United States,,,,PRIVATE STRIP,Non-Fatal,Substantial,Airplane,N7355A,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,VMC,Approach,Probable Cause,09/01/1983
20020917X01994,Accident,FTW82DA038,09/01/1982,"TOMBALL, TX",United States,,,DWH,DAVID WAYNE HOOKS,Non-Fatal,Substantial,Airplane,N55489,Piper,PA-34,No,2,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,3,VMC,Taxi,Probable Cause,09/01/1983
20020917X02283,Accident,LAX82FJA03,09/01/1982,"MOKULEIA, HI",United States,,,,DILLINGHAM,Non-Fatal,Substantial,Airplane,N5639V,Cessna,305 (L-19),No,1,Reciprocating,Part 91: General Aviation,,Unknown,,0,0,0,2,VMC,Landing,Probable Cause,09/01/1983
20020917X01981,Accident,DEN82FTE15,09/01/1982,"STEAMBOAT SPRIN, CO",United States,,,SBS,ROUTT CITY,Non-Fatal,Substantial,Airplane,N2195G,Cessna,182A,No,1,Reciprocating,Part 91: General Aviation,,Unknown,,0,0,0,1,VMC,Approach,Probable Cause,09/01/1983
20020917X02341,Accident,MIA82DA032,10/01/1982,"OKEECHOBEE, FL",United States,,,,LOWERY DAVIS,Non-Fatal,Destroyed,Airplane,N567V,Piper,PA-23-250,No,2,Reciprocating,Part 91: General Aviation,,Unknown,,0,2,0,0,UNK,Approach,Probable Cause,10/01/1983
20020917X02158,Accident,LAX82DA041,10/01/1982,"BULLHEAD CITY, AZ",United States,,,P06,BULLHEAD CITY,Non-Fatal,Destroyed,Airplane,N2753J,Cessna,172N,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,4,VMC,Landing,Probable Cause,10/01/1983
20020917X01882,Accident,CHI82FA025,10/01/1982,"WHEELING, IL",United States,,,PWK,PALWAUKEE,Non-Fatal,Destroyed,Airplane,N6995Y,Piper,23-250,No,2,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,IMC,Takeoff,Probable Cause,10/01/1983
20020917X01719,Accident,ATL82FA032,10/01/1982,"HENDERSON, NC",United States,,,,,Fatal(1),Destroyed,Airplane,N3688N,Mooney,M20G,No,1,Reciprocating,Part 91: General Aviation,,Personal,,1,1,0,0,VMC,Cruise,Probable Cause,10/01/1983
20020917X02305,Accident,LAX82FUQ07,10/01/1982,"MOJAVE, CA",United States,,,,,Non-Fatal,Substantial,Airplane,N2644Q,Cessna,TU206F,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,4,0,VMC,Landing,Probable Cause,10/01/1983
20020917X02289,Accident,LAX82FUG05,10/01/1982,"UPLAND, CA",United States,,,,,Non-Fatal,Substantial,Airplane,N234Q,Quickie,1,Yes,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Takeoff,Probable Cause,10/01/1983
20020917X01623,Accident,ANC82DA013,10/01/1982,"QUINHAGAK, AK",United States,,,,,Non-Fatal,Substantial,Airplane,N756YN,Cessna,U206,No,1,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Tri-city Air Service,0,0,3,0,VMC,Cruise,Probable Cause,10/01/1983
20020917X01985,Accident,DEN82FTI10,11/01/1982,"NEAR BOZEMAN, MT",United States,,,,,Non-Fatal,Destroyed,Airplane,N7273J,Piper,PA-28-140,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,1,1,0,VMC,Cruise,Probable Cause,11/01/1983
20020917X01965,Accident,DEN82FA017,11/01/1982,"RIVERTON, WY",United States,,,,RIVERTON REGIONAL,Fatal(4),Destroyed,Airplane,N6558A,Cessna,210N,No,1,Reciprocating,Part 91: General Aviation,,Personal,,4,1,1,0,IMC,Takeoff,Probable Cause,11/01/1983
20020917X01982,Accident,DEN82FTE16,11/01/1982,"SAQUACHE, CO",United States,,,28V,COCHETOPA,Non-Fatal,Substantial,Airplane,N2332C,Cessna,180,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Takeoff,Probable Cause,11/01/1983
20020917X01715,Accident,ATL82DKJ09,11/01/1982,"AUBURN, AL",United States,,,AVO,AUBURN/OPELIKA,Non-Fatal,Substantial,Airplane,N424VW,Cessna,310L,No,2,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Landing,Probable Cause,11/01/1983
20020917X01897,Incident,CHI82IA026,12/01/1982,"CHICAGO, IL",United States,,,ORD,CHICAGO O'HARE INTER'L,Incident,,Airplane,N31031,Lockheed,L-1011,No,3,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,Trans World Airlines,0,0,0,149,UNK,Cruise,Probable Cause,12/01/1983
20020917X01765,Incident,ATL82IA034,12/01/1982,"CLARKSBURG, WV",United States,,,CKB,BENEDUM,Incident,Minor,Airplane,N615KC,Embraer,EMB-110P1,No,2,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Aeromech Incorporated,0,0,0,2,VMC,Taxi,Probable Cause,12/01/1983
20020917X01750,Accident,ATL82FKQ09,12/01/1982,"ABERDEEN, MS",United States,,,,,Non-Fatal,Destroyed,Airplane,N7706,Cessna,414,No,2,Reciprocating,Part 91: General Aviation,,Personal,,0,0,3,0,UNK,Descent,Probable Cause,12/01/1983
20020917X02111,Accident,FTW82FPA10,12/01/1982,"ADDISON, TX",United States,,,11,ADDISON,Non-Fatal,Substantial,Airplane,N8678M,Beech,P35,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,1,0,1,IMC,Descent,Probable Cause,12/01/1983
20020917X02342,Accident,MIA82DA033,13/01/1982,"MONTICELLO, FL",United States,,,,,Non-Fatal,Destroyed,Airplane,N28607,Grumman,AA5B,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Descent,Probable Cause,13/01/1983
20020917X01907,Accident,DCA82AA011,13/01/1982,"WASHINGTON, DC",United States,,,,WASHINGTON NATIONAL,Fatal(78),Destroyed,,N62AF,Boeing,737-222,No,2,Turbo Fan,,SCHD,Unknown,"Air Florida, Inc",78,6,3,0,IMC,Takeoff,Probable Cause,13/01/1983
20020917X02120,Accident,FTW82FPJ11,13/01/1982,"WATONGA, OK",United States,,,,,Non-Fatal,Substantial,Airplane,N47442,Piper,PA-28R-201T,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,3,VMC,Cruise,Probable Cause,13/01/1983
20020917X01996,Accident,FTW82DA040,13/01/1982,"HOBBS, NM",United States,,,HOB,LEA COUNTY HOBBS,Non-Fatal,Substantial,Airplane,N2396W,Beech,A23-24,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,4,VMC,Takeoff,Probable Cause,13/01/1983
20020917X02575,Accident,SEA82DA017,13/01/1982,"SPOKANE, WA",United States,,,,GEIGER FIELD,Non-Fatal,Substantial,Airplane,N36PB,Piper,PA-31-350,No,2,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Unknown,Richard Engstrom,0,0,0,2,IMC,Approach,Probable Cause,13/01/1983
20020917X01966,Accident,DEN82FA018,15/01/1982,"28 MI ENE OGDEN, UT",United States,,,,,Fatal(3),Destroyed,Airplane,N6520Y,Cessna,T210N,No,1,Reciprocating,Part 91: General Aviation,,Personal,,3,0,0,0,VMC,Climb,Probable Cause,15/01/1983
20020917X02486,Accident,NYC82DA022,15/01/1982,"BUTLER, PA",United States,,,3G9,BUTLER ROE,Non-Fatal,Substantial,,N4875B,Cessna,310,No,2,Reciprocating,,,Personal,,,,,2,VMC,Approach,Probable Cause,15/01/1983
20020917X02395,Accident,MIA82DKJ03,15/01/1982,"MALONE, FL",United States,,,,TAYLOR FARMS,Non-Fatal,Substantial,Airplane,N5559T,Cessna,172,No,1,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,VMC,Landing,Probable Cause,15/01/1983
20020917X02577,Accident,SEA82DA019,15/01/1982,"S.E. OF MALTA, ID",United States,,,,,Non-Fatal,Substantial,Helicopter,N58203,Hughes,269C,No,1,Reciprocating,Part 91: General Aviation,,Unknown,,0,0,0,1,VMC,Taxi,Probable Cause,15/01/1983
20020917X02576,Accident,SEA82DA018,15/01/1982,"SPOKANE, WA",United States,,,SFF,FELTS,Non-Fatal,Substantial,Airplane,N72901,Cessna,140,No,1,Reciprocating,Part 91: General Aviation,,Unknown,,0,0,0,1,VMC,Takeoff,Probable Cause,15/01/1983
20020917X02538,Accident,NYC82FA021,15/01/1982,"JAMAICA, NY",United States,,,JFK,JOHN F. KENNEDY INT'L,Non-Fatal,Substantial,Airplane,N341PL,Swearingen,SA 226-TC,No,2,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Pocono Airlines,0,1,2,12,VMC,Takeoff,Probable Cause,15/01/1983
